Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
Krubb,restaurant,Restaurang & Snabbmat,Telefonvägen,22,59.298455,17.9953077,Midsommarkransen
CASA del LAGO,restaurant,Restaurang & Snabbmat,Strandängsstigen,,59.2653194,17.9754574,Långsjö
Kafé,cafe,Kafé,Gårdstigen,,59.2653765,17.9753585,Långsjö
Lekplats,playground,Lekplats,Långsjövägen,,59.2689866,17.9699271,Långsjö
Herrängens gård,cafe,Kafé,Segeltorpsvägen,49-51,59.273165,17.9608766,Älvsjö
Subway,fast_food,Restaurang & Snabbmat,Älvsjö Torg,13B,59.2786951,18.0094843,Älvsjö
Wild Flower Bakehouse Café,cafe,Kafé,Kransbindarvägen,,59.3024732,18.001802,Midsommarkransen
Jarla Trafikskola,driving_school,Trafikskola,Johan Skyttes Väg,189C,59.278502,18.0080988,Älvsjö
Stenugnsbröd På Söder,cafe,Kafé,Svandammsvägen,,59.3014783,18.0130327,Midsommarkransen
Pizza,fast_food,Restaurang & Snabbmat,Aklejavägen,,59.2772451,17.9660733,Älvsjö
Lekplats,playground,Lekplats,Kristallvägen,,59.2877577,18.0013176,Solberga
Island Hoppers,restaurant,Restaurang & Snabbmat,Instrumentvägen,,59.3055572,17.9826465,Hägersten
Pepe Rosso,fast_food,Restaurang & Snabbmat,Älvsjövägen,5,59.2777849,18.0060419,Liseberg
Grappolo D'uva,restaurant,Restaurang & Snabbmat,Älvsjö Torg,19A,59.2787636,18.0086926,Älvsjö
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Älvsjö Broväg,,59.2760792,18.0139633,Liseberg
Thelins,cafe,Kafé,Johan Skyttes Väg,185,59.2787234,18.008594,Älvsjö
WRAP'Z,restaurant,Restaurang & Snabbmat,Svandammsvägen,5,59.3018326,18.015297,Midsommarkransen
Rosteriet,cafe,Kafé,Rosterigränd,,59.3119336,18.0239912,Liljeholmen
Marrakech Resturang,restaurant,Restaurang & Snabbmat,Årstaängsvägen,,59.3096235,18.030495,Liljeholmen
Via loreto,restaurant,Restaurang & Snabbmat,Årstaängsvägen,,59.3095015,18.0283179,Liljeholmen
Let's Eat Sushi,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3082152,18.0270286,Liljeholmen
MGL Sushi,restaurant,Restaurang & Snabbmat,Fredsborgstorget,,59.3072681,18.0268205,Liljeholmen
Tant Maja och Fröken Emilia,cafe,Kafé,Marieviksgatan,,59.3081333,18.0272421,Liljeholmen
Blockriket,playground,Lekplats,Sjöviksvägen,,59.3048279,18.0358318,Liljeholmen
Sjöviks pizza & kebab,fast_food,Restaurang & Snabbmat,Grönbrinksgatan,,59.3070687,18.0292022,Liljeholmen
Haandi,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3064883,18.0322898,Liljeholmen
Vår Pizza,restaurant,Restaurang & Snabbmat,Erik Segersälls Väg,,59.3059146,18.0011339,Aspudden
Pizzabagaren,fast_food,Restaurang & Snabbmat,Tellusborgsvägen,,59.298133,18.0025128,Västberga
Hanami Hawaiian Poké & Sushi,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3060444,18.0325963,Liljeholmen
Lilla Paradiset,fast_food,Restaurang & Snabbmat,Örnsbergsvägen,,59.3055597,17.9890185,Aspudden
Apoteket,pharmacy,Apotek,Axelsbergs Torg,2,59.304169,17.9748559,Hägersten
ICA Supermarket Telefonplan,supermarket,Matbutik,Tellusborgsvägen,87,59.2966808,18.0014892,Västberga
Brödernas,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3066191,18.0334682,Liljeholmen
Strong body & mind,fitness_centre,Gym/Utomhusgym,Sjöviksvägen,,59.3053163,18.0358886,Liljeholmen
Café Cul-De-Sac,cafe,Kafé,Lusuddsvägen,,59.316319,18.0163716,Gröndal
Del Mare,fast_food,Restaurang & Snabbmat,Nybohovsbacken,,59.3090971,18.0155531,Liljeholmen
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Fruängsgången,,59.2855188,17.9646495,Fruängen
Systembolaget,alcohol,Systembolag,Nybohovsbacken,,59.3094674,18.0214651,Liljeholmen
Lekplats,playground,Lekplats,Störtloppsvägen,,59.295542,17.9655927,Västertorp
Biocafé Tellus,cafe,Kafé,Vattenledningsvägen,,59.3019499,18.0075039,Midsommarkransen
Thaimat Take Away,fast_food,Restaurang & Snabbmat,Slättgårdsvägen,,59.3007035,17.957103,Mälarhöjden
Bakom hörnet,restaurant,Restaurang & Snabbmat,Midsommarvägen,,59.299527,18.0053741,Midsommarkransen
Masahiro,fast_food,Restaurang & Snabbmat,Tellusborgsvägen,,59.2982973,18.0026717,Västberga
Lekplats,playground,Lekplats,Pingstvägen,,59.3012522,17.9939547,Midsommarkransen
Bonne Femme,cafe,Kafé,Erik Segersälls Väg,,59.3062326,18.0008701,Aspudden
Saigon House,restaurant,Restaurang & Snabbmat,Hägerstensvägen,,59.3056332,17.9983257,Aspudden
Körkortshuset,driving_school,Trafikskola,Nybohovsbacken,,59.3099318,18.0250845,Liljeholmen
Liljeholmens bilskola,driving_school,Trafikskola,Liljeholmstorget,,59.3105393,18.0221584,Liljeholmen
Sushi by Rino,restaurant,Restaurang & Snabbmat,Svartlösavägen,52,59.2842313,17.9855051,Älvsjö
Lekplats,playground,Lekplats,Långbrovägen,,59.2788513,17.9941093,Älvsjö
Parkfiken,cafe,Kafé,Torsten Almsstigen,,59.3076579,17.9949017,Aspudden
Prepp,cafe,Kafé,Årstaängsvägen,,59.310603,18.0297263,Liljeholmen
Furellios Ristorante,restaurant,Restaurang & Snabbmat,Nyårsvägen,,59.3025113,17.994733,Midsommarkransen
Bonne Femme Stenungsbageri,cafe,Kafé,Midsommarvägen,,59.2995714,18.0041699,Midsommarkransen
Xi'an Köket,restaurant,Restaurang & Snabbmat,Bäckvägen,,59.3024092,17.994269,Midsommarkransen
Lekplats,playground,Lekplats,Typografvägen,,59.3032597,17.9905437,Hägersten
A.B.Café,cafe,Kafé,Valborgsmässovägen,34,59.2995931,17.998632,Midsommarkransen
NIDa Catering och festvåning,restaurant,Restaurang & Snabbmat,Marieviksgatan,,59.3100886,18.03051,Liljeholmen
STC,fitness_centre,Gym/Utomhusgym,Ingenjörsvägen,4,59.3063503,18.0256674,Liljeholmen
Texas Longhorn,restaurant,Restaurang & Snabbmat,Götalandsvägen,238,59.2801143,18.00389,Älvsjö
800 Grader,restaurant,Restaurang & Snabbmat,Cedergrensvägen,2,59.3034407,18.002799,Midsommarkransen
Distriktstandvården Liljeholmen,dentist,Tandläkare,Liljeholmstorget,,59.309844,18.021877,Liljeholmen
Solbergaskogens utegym,fitness_station,Gym/Utomhusgym,Smaragdstigen,,59.2853453,18.005873,Solberga
Teso Sushi,restaurant,Restaurang & Snabbmat,Kabelverksgatan,16,59.2823244,18.0028619,Älvsjö
Oh Poké,fast_food,Restaurang & Snabbmat,Älvsjö Stationsgata,,59.2796169,18.0120045,Älvsjö
Solbrännans utegym,fitness_station,Gym/Utomhusgym,Apelsinstigen,,59.2819949,18.0153827,Älvsjö
Systembolaget,alcohol,Systembolag,Älvsjö Ängsväg,2-6,59.275255,18.0128234,Liseberg
Lubnan Kajen,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3061152,18.0354217,Liljeholmen
SATS Liljeholmstorget,fitness_centre,Gym/Utomhusgym,Liljeholmstorget,,59.309834,18.022026,Liljeholmen
Bastard Burgers,restaurant,Restaurang & Snabbmat,Liljeholmstorget,5,59.309643,18.0224993,Liljeholmen
Slow Hands,cafe,Kafé,Sedelvägen,35,59.2952723,17.9796325,Hägerstensåsen
Thailaan,supermarket,Matbutik,Nybohovsbacken,,59.3093456,18.0214941,Liljeholmen
Veloce Pizza,restaurant,Restaurang & Snabbmat,Kabelverksgatan,25,59.2820466,18.002632,Älvsjö
Sushi Yama,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.3095845,18.0218108,Liljeholmen
Bio Aspen,cinema,Biograf,Hägerstensvägen,100A,59.3060441,18.0066425,Aspudden
TOVE,restaurant,Restaurang & Snabbmat,Sjöviksbacken,,59.3049772,18.030666,Liljeholmen
STC,fitness_centre,Gym/Utomhusgym,Västbergavägen,,59.2938492,18.0041601,Västberga
Coop Svandammsplan,supermarket,Matbutik,Pingstvägen,,59.3010865,18.0032136,Midsommarkransen
STC,fitness_centre,Gym/Utomhusgym,Örnsbergsvägen,,59.3052207,17.9890893,Aspudden
Studio Mimundo,tattoo,,Kabelverksgatan,48,59.2826737,18.0007297,Älvsjö
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Doktor Widerströms Gata,,59.2881437,17.9585985,Fruängen
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Vantörsvägen,,59.282748,17.9632351,Fruängen
Apotek Hjärtat,pharmacy,Apotek,Fruängsgången,5,59.2855373,17.9641768,Fruängen
Circle K,fuel,Bensinmack,Varuvägen,2,59.2718312,18.0095316,Älvsjö
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Sedelvägen,,59.2979322,17.9864008,Hägerstensåsen
Älvsjö Centrum Vårdcentral,doctor,Vårdcentral,Älvsjö Stationsgata,,59.2780408,18.0085476,Älvsjö
Midoris,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3058102,18.0367235,Liljeholmen
Thai Wok Orkidé,restaurant,Restaurang & Snabbmat,Bäckvägen,80,59.3022428,17.9935758,Midsommarkransen
Gymmet,fitness_centre,Gym/Utomhusgym,Årsta Hamnväg,,59.3084472,18.0268805,Liljeholmen
Ponte & Simone,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3060783,18.0356973,Liljeholmen
3Sixty,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3061695,18.0351583,Liljeholmen
Färgfabrikens Kafé,restaurant,Restaurang & Snabbmat,Lövholmsbrinken,,59.3153217,18.0193396,Liljeholmen
STC,fitness_centre,Gym/Utomhusgym,Johan Skyttes Väg,,59.2778284,18.0031991,Liseberg
Konstfack bibliotek,library,Bibliotek,LM Ericssons Väg,,59.2998873,17.9941863,Midsommarkransen
Pizzeria Delize,fast_food,Restaurang & Snabbmat,Skridskovägen,,59.2939651,17.9768288,Västertorp
Piatto Fresco,restaurant,Restaurang & Snabbmat,Årsta Skolgränd,10,59.3015269,18.0297314,Liljeholmen
Lulu,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,77A,59.2979966,18.0023627,Västberga
Skin Team,doctor,Vårdcentral,Fruängsgatan,,59.2846062,17.9604355,Fruängen
My Favorit Grill,restaurant,Restaurang & Snabbmat,Doktor Widerströms Gata,,59.2853426,17.95617,Fruängen
Fruängens Trafikskola,driving_school,Trafikskola,Fruängsgatan,,59.284921,17.961645,Fruängen
Sushi & Poke,restaurant,Restaurang & Snabbmat,Vantörsvägen,,59.2861904,17.9532279,Fruängen
Il Forno,restaurant,Restaurang & Snabbmat,Vantörsvägen,,59.2863117,17.9507629,Fruängen
STC,fitness_centre,Gym/Utomhusgym,Vantörsvägen,,59.2864995,17.9537332,Fruängen
Grill&Wok Stugan,restaurant,Restaurang & Snabbmat,Varuvägen,,59.2717762,18.0071086,Älvsjö
Sushi Kawa,restaurant,Restaurang & Snabbmat,Fruängstorget,6,59.2858028,17.9638267,Fruängen
Nordic Wellness,fitness_centre,Gym/Utomhusgym,Elsa Brändströms Gata,,59.2868351,17.9640998,Fruängen
Fruängens Tandläkare,dentist,Tandläkare,Elsa Brändströms Gata,,59.2884181,17.9629296,Fruängen
Fruängstandläkarna,dentist,Tandläkare,Elsa Brändströms Gata,,59.2882672,17.9630587,Fruängen
Fruängens Familjetandvård,dentist,Tandläkare,Hanna Paulis Gata,,59.2867241,17.9635245,Fruängen
Babas,fast_food,Restaurang & Snabbmat,Fruängstorget,6,59.2857997,17.9639333,Fruängen
Fruängen Dental,dentist,Tandläkare,Fruängsgången,,59.285451,17.9637336,Fruängen
Home Food,restaurant,Restaurang & Snabbmat,Fruängsplan,,59.2859601,17.9652138,Fruängen
Folktandvården,dentist,Tandläkare,Västertorpsplan,,59.2925671,17.9689012,Västertorp
Surdegspizza,restaurant,Restaurang & Snabbmat,Vasaloppsvägen,,59.2937752,17.9655439,Västertorp
Västertorps Hjärta,restaurant,Restaurang & Snabbmat,Störtloppsvägen,30,59.2936722,17.9672747,Västertorp
Vår Pizza,restaurant,Restaurang & Snabbmat,Västertorpsplan,,59.2924658,17.9689861,Västertorp
Samtal Dental,dentist,Tandläkare,Jordkabelgatan,2,59.2822406,18.0020749,Älvsjö
Goal Vision Dream,fitness_centre,Gym/Utomhusgym,Kabelverksgatan,,59.282684,18.0013459,Älvsjö
Maritza Fixar,doctor,Vårdcentral,Götalandsvägen,,59.2802531,18.0130392,Älvsjö
Älvsjö Tandvård,dentist,Tandläkare,Prästgårdsgränd,,59.280285,18.0112353,Älvsjö
STC,fitness_centre,Gym/Utomhusgym,Götalandsvägen,,59.279558,18.0106482,Älvsjö
The Garden,restaurant,Restaurang & Snabbmat,Mässvägen,1,59.2767476,18.0113337,Liseberg
Ichiban,restaurant,Restaurang & Snabbmat,Skridskovägen,,59.2940655,17.9767838,Västertorp
Axelsbergs Tandläkarna,dentist,Tandläkare,Selmedalsvägen,42;44;46,59.3046899,17.9740205,Hägersten
Cachay,cafe,Kafé,Skridskovägen,,59.2940156,17.976807,Västertorp
Tang Ji,restaurant,Restaurang & Snabbmat,Axelsbergs Torg,2,59.3042013,17.9748353,Hägersten
Tandläkare,dentist,Tandläkare,Hägerstensvägen,,59.3009479,17.9580862,Hägersten
Brödernas,restaurant,Restaurang & Snabbmat,Brådstupsvägen,,59.3041131,17.9589797,Hägersten
Catarina,restaurant,Restaurang & Snabbmat,Sparbanksvägen,,59.2951096,17.9838697,Hägerstensåsen
Topoli,restaurant,Restaurang & Snabbmat,Korpmossevägen,,59.2910859,17.9904856,Västberga
Holy Kebab,restaurant,Restaurang & Snabbmat,Telefonplan,2,59.2990773,17.9955577,Midsommarkransen
Texas Longhorn,restaurant,Restaurang & Snabbmat,Telefonplan,2,59.2990535,17.9950864,Midsommarkransen
Brödernas,restaurant,Restaurang & Snabbmat,LM Ericssons Väg,,59.2990343,17.9952838,Midsommarkransen
Gigis Hörna,restaurant,Restaurang & Snabbmat,Tellusgången,,59.2987978,17.9896584,Midsommarkransen
Nataljas Medicinska Fotvård,doctor,Vårdcentral,Midsommarvägen,,59.2995544,18.0046911,Midsommarkransen
Skog,fitness_centre,Gym/Utomhusgym,Tellusborgsvägen,,59.2992941,18.0038141,Västberga
Mitt Gym,fitness_centre,Gym/Utomhusgym,Tellusborgsvägen,,59.2987718,18.0020897,Västberga
stc,fitness_centre,Gym/Utomhusgym,Midsommargränd,,59.2989891,18.0036417,Västberga
Noli Deli,restaurant,Restaurang & Snabbmat,Midsommarparken,,59.3012561,18.0120163,Midsommarkransen
Målarverkstadens Bistro,cafe,Kafé,Hägerstensvägen,,59.3054014,17.9937227,Aspudden
Thurson & Engquist,dentist,Tandläkare,Botvidsgatan,,59.3060239,17.9982697,Aspudden
Bara Yoga,fitness_centre,Gym/Utomhusgym,Schlytersvägen,,59.3067148,18.0003357,Aspudden
STC,fitness_centre,Gym/Utomhusgym,Klacktorget,,59.2868632,18.0099703,Solberga
Lokanta,restaurant,Restaurang & Snabbmat,Kristalltorget,,59.2899188,17.9989496,Solberga
Restaurang & Snabbmat,restaurant,Restaurang & Snabbmat,Kristalltorget,,59.290128,17.9996432,Solberga
Tandvård,dentist,Tandläkare,Örby Slottsväg,,59.2802409,18.0337115,Örby slott
Hägerstens trafikskola,driving_school,Trafikskola,Hägerstensvägen,,59.3058983,18.0076915,Aspudden
Kim Ban Ban,restaurant,Restaurang & Snabbmat,Nybohovsbacken,,59.3095202,18.021603,Liljeholmen
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Tellusborgsvägen,,59.3004082,18.0045074,Midsommarkransen
Johan Skytteskolans utegym,fitness_centre,Gym/Utomhusgym,Västerängsvägen,21,59.277314,17.9829224,Älvsjö
Dentalisterna,dentist,Tandläkare,Liljeholmsvägen,,59.3118095,18.024004,Liljeholmen
Thelins konditori,cafe,Kafé,Gröndalsvägen,,59.3154302,18.0013803,Gröndal
Beirut Lounge,restaurant,Restaurang & Snabbmat,Fruängstorget,6,59.2857974,17.9640318,Fruängen
Café Nero,cafe,Kafé,Liljeholmstorget,,59.3097814,18.022905,Liljeholmen
Il Forno,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.309555,18.0220841,Liljeholmen
Kebab-ish,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.3097263,18.022769,Liljeholmen
Naked fish,restaurant,Restaurang & Snabbmat,Fågeltorget,,59.3055101,17.9931902,Aspudden
La Casa de Planka,restaurant,Restaurang & Snabbmat,Klockhusgränd,1A,59.2810236,18.0003712,Liseberg
Magic Masala,restaurant,Restaurang & Snabbmat,Nioörtsvägen,24,59.3015599,18.016121,Midsommarkransen
Midsommarkransens trafikskola,driving_school,Trafikskola,Tegelbruksvägen,8,59.3025534,18.014335,Midsommarkransen
Smash N Grab,fast_food,Restaurang & Snabbmat,Fredsborgsgatan,,59.3059707,18.0303074,Liljeholmen
Kringelgården Kransen,cafe,Kafé,Radiusbacken,,59.2985575,18.0029163,Västberga
Lisebergs vårdcentral,doctor,Vårdcentral,Annebodavägen,4-6,59.2848365,18.0303853,Älvsjö
Lekplats,playground,Lekplats,Pingstvägen,,59.301087,17.9937606,Midsommarkransen
Lugnet,playground,Lekplats,Terrängvägen,,59.2942412,17.9700555,Västertorp
Kristallparken,playground,Lekplats,Sulvägen,,59.2871487,18.0034603,Solberga
Lekplats,playground,Lekplats,Elsa Borgs Gata,,59.2828065,17.9659617,Fruängen
Lekplatsen Solhatten,playground,Lekplats,Elsa Borgs Gata,,59.283478,17.9673044,Fruängen
Lekplats,playground,Lekplats,Fruängsgatan,,59.284193,17.9681413,Fruängen
Lekplats,playground,Lekplats,Lina Sandells Plan,,59.2837588,17.9601189,Fruängen
Lekplats,playground,Lekplats,Lina Sandells Plan,,59.2845656,17.9610146,Fruängen
Pizzeria Lugano,restaurant,Restaurang & Snabbmat,Fredrika Bremers Gata,63,59.2835794,17.970829,Fruängen
Lekplats,playground,Lekplats,Elin Wägners Gata,,59.2852541,17.9726617,Fruängen
Lekplats,playground,Lekplats,Elin Wägners Gata,,59.2859825,17.9710023,Fruängen
Lekplats,playground,Lekplats,Elin Wägners Gata,,59.2844173,17.9718698,Fruängen
Lekplats,playground,Lekplats,Ellen Keys Gata,,59.2882191,17.9662852,Fruängen
Lekplats,playground,Lekplats,Fredrika Bremers Gata,,59.2871324,17.9714389,Fruängen
Lekplats,playground,Lekplats,Hanna Paulis Gata,,59.2876557,17.9618021,Fruängen
Lekplats,playground,Lekplats,Hanna Paulis Gata,,59.2867196,17.9629663,Fruängen
Lekplats,playground,Lekplats,Hanna Paulis Gata,,59.2871711,17.9619961,Fruängen
Parkleken Vippan,playground,Lekplats,Elin Wägners Gata,,59.2868424,17.9696987,Fruängen
Lekplats,playground,Lekplats,Eva Bonniers Gata,,59.2856931,17.9605601,Fruängen
Lekplats,playground,Lekplats,Doktor Widerströms Gata,,59.2850186,17.9588585,Fruängen
Hamburgarprinsen,fast_food,Restaurang & Snabbmat,Doktor Widerströms Gata,,59.2853476,17.9561503,Fruängen
Lekplats,playground,Lekplats,Doktor Widerströms Gata,,59.2871093,17.9581462,Fruängen
Lekplats,playground,Lekplats,Doktor Widerströms Gata,,59.2864981,17.9574888,Fruängen
Storhagen,playground,Lekplats,Herrängsvägen,,59.2754336,17.9612046,Älvsjö
Fruktparken,playground,Lekplats,Liljeholmsgränd,,59.3110715,18.022184,Liljeholmen
Tre kungars lund,playground,Lekplats,Tre kungars lund,,59.284972,18.0237632,Älvsjö
Lidl,supermarket,Matbutik,Elisabeth Tamms Gata,2,59.285627,17.9544506,Fruängen
Coop Mälarhöjden,supermarket,Matbutik,Hägerstensvägen,331,59.3013291,17.9573872,Hägersten
Lekplats,playground,Lekplats,Fem Fålars Brunn,,59.2847863,18.0268878,Älvsjö
Lekplats,playground,Lekplats,Mickelsbergsvägen,,59.2866784,17.975077,Fruängen
Långbro värdshus,restaurant,Restaurang & Snabbmat,Stora Mans väg,4,59.282823,17.9708426,Älvsjö
Arkenparken,playground,Lekplats,Torsslowsbacken,,59.3062412,17.9769444,Hägersten
Lekplats,playground,Lekplats,Mästarbacken,,59.2981977,17.9431737,Mälarhöjden
Johannisdalsparken,playground,Lekplats,Sankt Mickelsgatan,,59.2964066,17.957966,Mälarhöjden
Pandaparken,playground,Lekplats,Nybohovsgränd,,59.3076543,18.0177308,Liljeholmen
Schlytersparken,playground,Lekplats,Schlytersvägen,,59.3067827,18.0073509,Aspudden
Parklek Sjörövarparken,playground,Lekplats,Smaragdstigen,,59.2814003,18.008867,Solberga
Apelsinen,playground,Lekplats,Apelsinstigen,,59.2839465,18.0145002,Solberga
Lekplats,playground,Lekplats,Pilgrimsvägen,,59.3051419,18.0026426,Aspudden
Lekplats,playground,Lekplats,Näbbskostigen,,59.2883133,18.014647,Solberga
Gunnars Pizzeria,fast_food,Restaurang & Snabbmat,Herrängsvägen,,59.2757484,17.9612266,Älvsjö
Klämman,playground,Lekplats,Sylvestergatan,,59.2864615,18.0287083,Älvsjö
Park Folkets Hus,cinema,Biograf,Götalandsvägen,181,59.2831582,18.0272566,Liseberg
Eolshälls 4 H-gård,cafe,Kafé,Eolshällsvägen,10,59.3078856,17.9694819,Hägersten
Lekplats,playground,Lekplats,Ekensbergsvägen,,59.3156447,17.9932308,Gröndal
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3153829,18.0092357,Gröndal
Lekplats,playground,Lekplats,Örnbacken,,59.30927,17.9876444,Aspudden
Lekplats,playground,Lekplats,Selmedalsvägen,,59.3049254,17.9733691,Hägersten
Lekplats,playground,Lekplats,Selmedalsvägen,,59.3047878,17.9700238,Hägersten
Lekplats,playground,Lekplats,Selmedalsvägen,,59.3048481,17.9711576,Hägersten
Lekplats,playground,Lekplats,Selmedalsvägen,,59.3048825,17.9722869,Hägersten
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3165046,18.0116344,Gröndal
Lekplats,playground,Lekplats,Ekensbergsvägen,,59.3161037,17.9924057,Gröndal
Lekplats,playground,Lekplats,Juvelerarvägen,,59.2879036,17.9934344,Solberga
Lekplats,playground,Lekplats,Smyckegränd,,59.2863928,17.9960799,Solberga
Lekplats,playground,Lekplats,Korpmossevägen,,59.2947442,17.9896157,Västberga
Lekplats,playground,Lekplats,Fregattvägen,,59.312684,18.0007917,Gröndal
Lekplats,playground,Lekplats,Hövdingagatan,,59.3068798,17.9918246,Aspudden
Lekplats,playground,Lekplats,Botvidsgatan,,59.3062938,17.9992611,Aspudden
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3054169,17.9914834,Aspudden
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3052971,17.9901362,Aspudden
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3053371,17.990788,Aspudden
Lekplats,playground,Lekplats,Örnsbergsvägen,,59.3057595,17.9890531,Aspudden
Lekplats,playground,Lekplats,Mellanbergsvägen,,59.2910102,17.9896217,Västberga
Lekplats,playground,Lekplats,Räfsestigen,,59.2857402,17.9818039,Älvsjö
Lekplats,playground,Lekplats,Karossvägen,,59.2859727,17.981471,Älvsjö
Daisy's express,fast_food,Restaurang & Snabbmat,Elektravägen,32,59.2952544,18.0109716,Västberga
Café Uddvillan,cafe,Kafé,Klubbensborgsvägen,27,59.3076706,17.9584891,Hägersten
Lekplats,playground,Lekplats,Skidskyttevägen,,59.2910129,17.9712767,Västertorp
Lekplats,playground,Lekplats,Sigfridsvägen,,59.3089453,18.0063838,Aspudden
Lekplats,playground,Lekplats,Örnbacken,,59.3095221,17.9900789,Aspudden
Lekplats,playground,Lekplats,Ekensbergsvägen,,59.3147349,17.9899842,Gröndal
Båtparken,playground,Lekplats,Sedelvägen,,59.2952972,17.9817846,Hägerstensåsen
Lekplats,playground,Lekplats,Dymlingsgränd,,59.290627,17.9862774,Hägerstensåsen
Lekplats,playground,Lekplats,Tomträttsvägen,,59.2941919,17.9833147,Hägerstensåsen
Lekplats,playground,Lekplats,Gröndalsvägen,,59.3141693,17.9905113,Gröndal
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Älvsjöskogens elljusspår,,59.2650237,17.9966321,Långsjö
Lekplats,playground,Lekplats,Gösta Ekmans väg,,59.3028637,17.9818054,Hägersten
Långbro bakficka,cafe,Kafé,Stora Kvinns Väg,,59.2818034,17.9715299,Älvsjö
Lekplats,playground,Lekplats,Korpmossevägen,,59.292797,17.9894293,Västberga
Lekplats,playground,Lekplats,Gösta Ekmans väg,,59.3034228,17.9845761,Hägersten
Lekplats,playground,Lekplats,Piruettvägen,,59.2935954,17.9785477,Hägerstensåsen
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3056737,17.9940364,Aspudden
Lekplats,playground,Lekplats,Tordyvelvägen,,59.276096,17.9845351,Älvsjö
Lekplats,playground,Lekplats,Konvaljestigen,,59.2758612,17.9704502,Älvsjö
Lekplats,playground,Lekplats,Cedergrensvägen,,59.3025709,18.0028615,Midsommarkransen
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Personnevägen,,59.2912146,17.9814735,Hägerstensåsen
Lekplats,playground,Lekplats,Dansbanevägen,,59.2955151,18.0091991,Västberga
Lekplats,playground,Lekplats,Elektravägen,,59.2952243,18.0088472,Västberga
Lekplats,playground,Lekplats,Elektravägen,,59.2947361,18.0084906,Västberga
Tågparken,playground,Lekplats,Midsommarparken,,59.3010938,18.0124815,Midsommarkransen
Lekplats,playground,Lekplats,Aspuddsstigen,,59.3083414,17.9951682,Aspudden
Lekplats,playground,Lekplats,Aspuddsstigen,,59.3086413,17.9958374,Aspudden
Lekplats,playground,Lekplats,Torsten Almsstigen,,59.3085675,17.9942743,Aspudden
Lekplats,playground,Lekplats,Örnbacken,,59.3093412,17.9885182,Aspudden
Lekplats,playground,Lekplats,Torsten Alms Gata,,59.3091886,17.9862516,Aspudden
Lekplats,playground,Lekplats,Sigurd Rings Gata,,59.3093829,17.9928607,Aspudden
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3040874,17.9826483,Hägersten
Lekplats,playground,Lekplats,Gösta Ekmans väg,,59.3034249,17.9796788,Hägersten
Lekplats,playground,Lekplats,Terrängvägen,,59.2940854,17.9693965,Västertorp
Lekplats,playground,Lekplats,Terrängvägen,,59.2943289,17.9701766,Västertorp
Lekplats,playground,Lekplats,Terrängvägen,,59.2939612,17.9700842,Västertorp
Lekplats,playground,Lekplats,Standarvägen,,59.2765852,18.0036235,Liseberg
Lekplats,playground,Lekplats,Styrbjörnsvägen,,59.3099007,18.0005078,Aspudden
Lekplats,playground,Lekplats,Nybodaringen,,59.3048544,18.0256745,Liljeholmen
Lekplats,playground,Lekplats,Nybodaringen,,59.304753,18.024029,Liljeholmen
Lekplats,playground,Lekplats,Trekantsstranden,,59.3136884,18.0161082,Liljeholmen
Lekplats,playground,Lekplats,Hildebergsvägen,,59.3028169,18.0283699,Liljeholmen
Lekplats,playground,Lekplats,Klensmedsvägen,6,59.2952499,17.9986178,Västberga
Lekplats,playground,Lekplats,Ellen Fries Gata,,59.2882923,17.9716815,Fruängen
Lekplats,playground,Lekplats,Elsa Brändströms Gata,,59.2879084,17.9774308,Fruängen
Lekplats,playground,Lekplats,Elsa Brändströms Gata,,59.2879344,17.9734759,Fruängen
Lekplats,playground,Lekplats,Backvindeln,,59.297713,17.946049,Mälarhöjden
Lekplats,playground,Lekplats,Backvindeln,,59.2982176,17.9476918,Mälarhöjden
