Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
Megagrillen,fast_food,Restaurang & Snabbmat,Johan Skyttes Väg,188,59.278964,18.0084016,Älvsjö,Hägersten-Älvsjö
Hökmossens kaffestuga,restaurant,Restaurang & Snabbmat,Hökmossevägen,22,59.2919271,17.9951927,Västberga,Hägersten-Älvsjö
Cafe Elektra,cafe,Kafé,Elektravägen,33,59.2943422,18.0090461,Västberga,Hägersten-Älvsjö
IDS,fuel,Bensinmack,Upplagsvägen,,59.2990961,18.0220276,Västberga,Hägersten-Älvsjö
Bakstugan i Västertorp,cafe,Kafé,Vasaloppsvägen,,59.294539,17.9668412,Västertorp,Hägersten-Älvsjö
Shinto Restaurang,restaurant,Restaurang & Snabbmat,Solberga Hagväg,5,59.279555,18.0086807,Älvsjö,Hägersten-Älvsjö
Svenska Hamburgerköket,fast_food,Restaurang & Snabbmat,Tellusborgsvägen,78,59.3001133,18.0039844,Midsommarkransen,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Västbergavägen,4,59.2935847,18.0048911,Västberga,Hägersten-Älvsjö
Indian Garden,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3079045,18.0286974,Liljeholmen,Hägersten-Älvsjö
Sushi Ureshii,restaurant,Restaurang & Snabbmat,Sedelvägen,28,59.296068,17.9823624,Hägerstensåsen,Hägersten-Älvsjö
Staffans trafikskola,driving_school,Trafikskola,Långbrodalsvägen,,59.2799024,18.0011743,Liseberg,Hägersten-Älvsjö
Parma Kök & Bar,restaurant,Restaurang & Snabbmat,Fruängstorget,12,59.2857916,17.96335,Fruängen,Hägersten-Älvsjö
Segeltorps trafikskola,driving_school,Trafikskola,Gamla Södertäljevägen,,59.2836671,17.9573967,Fruängen,Hägersten-Älvsjö
Chong Qing,restaurant,Restaurang & Snabbmat,Liljeholmsvägen,,59.3128576,18.028359,Liljeholmen,Hägersten-Älvsjö
Chamsin Grill,fast_food,Restaurang & Snabbmat,Liljeholmsvägen,,59.3128175,18.0281034,Liljeholmen,Hägersten-Älvsjö
Vivels,cafe,Kafé,Älvsjö Torg,6,59.2790794,18.0093028,Älvsjö,Hägersten-Älvsjö
JM Movement,physiotherapist,Fysioterapeut,Örby Slottsväg,,59.2807721,18.0328046,Örby slott,Hägersten-Älvsjö
Älvsjö Öron-näsa-hals,doctor,Vårdcentral,Johan Skyttes Väg,198,59.278468,18.0069728,Älvsjö,Hägersten-Älvsjö
Butsaya,restaurant,Restaurang & Snabbmat,Midsommargränd,,59.2990374,18.0034908,Västberga,Hägersten-Älvsjö
Snabb & Lugn Café,cafe,Kafé,Älvsjö Stationsgata,11,59.2784904,18.0108359,Älvsjö,Hägersten-Älvsjö
Lius kök,restaurant,Restaurang & Snabbmat,Vantörsvägen,279,59.2862001,17.9531322,Fruängen,Hägersten-Älvsjö
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Johan Skyttes Väg,,59.2787812,18.0080853,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Hägerstensvägen,,59.3010494,17.9565868,Mälarhöjden,Hägersten-Älvsjö
Utegym,fitness_station,Gym/Utomhusgym,Älvsjöskogens elljusspår,,59.2709035,17.9947649,Långsjö,Hägersten-Älvsjö
Spiskroken,restaurant,Restaurang & Snabbmat,Västbergavägen,,59.2928504,18.0082976,Västberga,Hägersten-Älvsjö
Älvsjö Tandläkaren,dentist,Tandläkare,Johan Skyttes Väg,202,59.2780057,18.0059938,Liseberg,Hägersten-Älvsjö
Mejram,restaurant,Restaurang & Snabbmat,Karusellplan,,59.2981398,18.0105611,Västberga,Hägersten-Älvsjö
Asian Garden,restaurant,Restaurang & Snabbmat,Karusellplan,,59.2980092,18.0104411,Västberga,Hägersten-Älvsjö
Istanbul Kolgrill,restaurant,Restaurang & Snabbmat,Västberga gårdsväg,,59.2915406,18.012289,Västberga,Hägersten-Älvsjö
Västbergakällan,restaurant,Restaurang & Snabbmat,Drivhjulsvägen,,59.2959258,18.0176833,Västberga,Hägersten-Älvsjö
Västberga Grillen,restaurant,Restaurang & Snabbmat,Vretensborgsvägen,20,59.299127,18.0160865,Västberga,Hägersten-Älvsjö
Nancys Freshfood,restaurant,Restaurang & Snabbmat,Vretensborgsvägen,,59.2985196,18.0146522,Västberga,Hägersten-Älvsjö
ST1,fuel,Bensinmack,Vasaloppsvägen,,59.2966942,17.973784,Västertorp,Hägersten-Älvsjö
R Han Thai Take Away,fast_food,Restaurang & Snabbmat,Safirgränd,,59.2918739,17.99975,Solberga,Hägersten-Älvsjö
WKB Västberga,restaurant,Restaurang & Snabbmat,Västberga Allé,36,59.293817,18.0111796,Västberga,Hägersten-Älvsjö
Erik's,restaurant,Restaurang & Snabbmat,Sjöviksbacken,,59.3045093,18.0304702,Liljeholmen,Hägersten-Älvsjö
The meeting bar & restaurant,restaurant,Restaurang & Snabbmat,Hägerstensvägen,,59.3050438,17.9921902,Aspudden,Hägersten-Älvsjö
Tokai sushi,restaurant,Restaurang & Snabbmat,Tellusgången,27,59.2987356,17.990757,Midsommarkransen,Hägersten-Älvsjö
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Störtloppsvägen,,59.2919715,17.9684317,Västertorp,Hägersten-Älvsjö
La Favorita,restaurant,Restaurang & Snabbmat,Bäckvägen,,59.3016611,17.9883394,Hägerstensåsen,Hägersten-Älvsjö
Il Forno di Fruängen,restaurant,Restaurang & Snabbmat,Vantörsvägen,282,59.286271,17.9508633,Fruängen,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Piruettvägen,,59.2936135,17.9785679,Hägerstensåsen,Hägersten-Älvsjö
GAIA,restaurant,Restaurang & Snabbmat,Vattenledningsvägen,,59.3024341,18.0086666,Midsommarkransen,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Västertorpsvägen,,59.2910324,17.97352,Västertorp,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Skridskovägen,,59.2929672,17.9759926,Västertorp,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Skridskovägen,,59.2927575,17.974138,Västertorp,Hägersten-Älvsjö
Pizza Örnsberg,fast_food,Restaurang & Snabbmat,Junkergatan,,59.3059603,17.9915981,Aspudden,Hägersten-Älvsjö
Hägerstens tandvårdsteam,dentist,Tandläkare,Sparbanksvägen,20-22,59.2975127,17.9826565,Hägerstensåsen,Hägersten-Älvsjö
Verkets Matsal,restaurant,Restaurang & Snabbmat,Näbbskostigen,,59.2895192,18.0159371,Västberga,Hägersten-Älvsjö
Rain,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,84,59.2994428,18.0034208,Midsommarkransen,Hägersten-Älvsjö
Ica Nära Älvsjö,supermarket,Matbutik,Svartlösavägen,181,59.2726121,17.9779185,Långsjö,Hägersten-Älvsjö
Lycka Thai & Sushi,fast_food,Restaurang & Snabbmat,Snöripsvägen,,59.2729767,17.9777737,Långsjö,Hägersten-Älvsjö
Thanita's Thai,fast_food,Restaurang & Snabbmat,Bäckvägen,141a,59.3012951,17.9865035,Hägerstensåsen,Hägersten-Älvsjö
Kafé,cafe,Kafé,Personnevägen,,59.2980588,17.9760594,Hägersten,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Älvsjökopplet,,59.2750688,18.0130154,Liseberg,Hägersten-Älvsjö
Puls och Träning,fitness_centre,Gym/Utomhusgym,Sjöviksbacken,,59.3061169,18.031891,Liljeholmen,Hägersten-Älvsjö
itrim,fitness_centre,Gym/Utomhusgym,Liljeholmsvägen,,59.3126201,18.0261071,Liljeholmen,Hägersten-Älvsjö
Apoteket,pharmacy,Apotek,Älvsjö Torg,17A,59.2785746,18.0090219,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Toffelbacken,,59.286065,18.01502,Solberga,Hägersten-Älvsjö
Hinode Wok,fast_food,Restaurang & Snabbmat,Älvsjö Torg,15A,59.2786381,18.0093297,Älvsjö,Hägersten-Älvsjö
Systembolaget,alcohol,Systembolag,Västbergavägen,,59.2939589,18.0039519,Västberga,Hägersten-Älvsjö
Krubb,restaurant,Restaurang & Snabbmat,Telefonvägen,22,59.298455,17.9953077,Midsommarkransen,Hägersten-Älvsjö
CASA del LAGO,restaurant,Restaurang & Snabbmat,Strandängsstigen,,59.2653194,17.9754574,Långsjö,Hägersten-Älvsjö
Kafé,cafe,Kafé,Gårdstigen,,59.2653765,17.9753585,Långsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långsjövägen,,59.2689866,17.9699271,Långsjö,Hägersten-Älvsjö
