gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Hägerstensvägen,Hägerstensvägen 235D,Hägersten,Hägersten,Reserverad p-plats rörelsehindrad,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2024-09-04T22:00:00Z,,,,,,,,17.980356,59.304563,rörelsehindrade,0180 2024-03057,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=03057
Västertorpsplan,Störtloppsvägen 11,Västertorp,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 02:00-08:00 1/11 - 15/5,2024-03-06T23:00:00Z,5,10,16,31,700,1900,,17.968562,59.292303,fordon,0180 2024-00427,"https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00427
"
Västertorpsplan,Störtloppsvägen 11,Västertorp,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 02:00-08:00 1/11 - 15/5,2024-03-06T23:00:00Z,11,5,1,15,800,200,torsdag,17.968562,59.292303,fordon,0180 2024-00427,"https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00427
"
Västertorpsplan,Störtloppsvägen 11,Västertorp,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 02:00-08:00 1/11 - 15/5,2024-03-06T23:00:00Z,5,10,16,31,900,1600,,17.968562,59.292303,fordon,0180 2024-00427,"https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00427
"
Västertorpsplan,Störtloppsvägen 11,Västertorp,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 02:00-08:00 1/11 - 15/5,2024-03-06T23:00:00Z,11,5,1,15,900,1600,,17.968562,59.292303,fordon,0180 2024-00427,"https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00427
"
Sjättenovembervägen,Sjättenovembervägen 212 - 214,Långbro,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 02:00-08:00,2025-12-17T23:00:00Z,,,,,900,1900,,18.002245,59.278433,fordon,0180 2025-06844,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=06844
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,5,10,16,31,900,2100,,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,11,5,1,15,1600,800,måndag,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,5,10,16,31,1000,2000,,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,11,5,1,15,1600,800,måndag,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,5,10,16,31,1000,1900,,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sedelvägen,Sedelvägen 18 - 11,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2026-01-16T23:00:00Z,11,5,1,15,1600,800,måndag,17.983989,59.296293,fordon,0180 2025-07217,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=07217
Sjättenovembervägen,Sjättenovembervägen 247 - 250,Långbro,Älvsjö,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2025-11-14T23:00:00Z,5,10,16,31,,,,17.997079,59.275183,fordon,0180 2025-04892,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04892
Sjättenovembervägen,Sjättenovembervägen 247 - 250,Långbro,Älvsjö,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2025-11-14T23:00:00Z,11,5,1,15,1600,800,onsdag,17.997079,59.275183,fordon,0180 2025-04892,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04892
