id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
7663,förskola,Förskolan Stormfågeln AB,Ivar Vidfamnes Gata 20,12652,Hägersten,17.9863286,59.3079937,Aspudden
8310,förskola,Förskolan Styresman Sanders väg 16,Styresman Sanders väg 16,16860,Bromma,17.9041467,59.3596442,Eneby
9491,förskola,Förskolan Sunnanstigen 11,Sunnanstigen 11,16731,Bromma,17.955714,59.3372067,Ulvsunda
6940,förskola,Förskolan Svartviksslingan 47,Svartviksslingan 47,16738,Bromma,17.9897242,59.3398854,Traneberg
7949,förskola,Förskolan Svartviksslingan 53,Svartviksslingan 53,16738,Bromma,17.9910381,59.3390094,Traneberg
9496,förskola,Förskolan Tunnlandsvägen 30,Tunnlandsvägen 30,16836,Bromma,17.9392984,59.3368431,Bromma
6854,förskola,Förskolan Tyska Bottens väg 49,Tyska Bottens väg 49,16841,Bromma,17.9056986,59.3325127,Nockebyhov
9503,förskola,"Förskolan Ulvsunda Slottsväg 19, 22",Ulvsunda slottsväg 19 och 22,16733,Bromma,148224.0,6580131.0,N/A
7944,förskola,Förskolan Vadmalsvägen 5–7,Vadmalsvägen 5–7,16874,Bromma,17.9437146,59.3396561,Bromma
9166,förskola,Förskolan Vingåkersvägen,Vingåkersvägen 22–26,12540,Älvsjö,18.0302443,59.2752339,Älvsjö
8342,förskola,Förskolan Vinjegatan 31–33/Björnsonsgatan 132,Björnsonsgatan 132,16844,Bromma,17.8800464,59.3478194,Blackeberg
9520,förskola,Förskolan Vultejusvägen 15 A,Vultejusvägen 15 A,16856,Bromma,17.9087707,59.3448874,Norra Ängby
8304,förskola,Förskolan Vultejusvägen 15 D E,Vultejusvägen 15 D E,16856,Bromma,17.9092484,59.3489677,Norra Ängby
6850,förskola,Förskolan Zornvägen 26,Zornvägen 26,16851,Bromma,17.8929598,59.3421619,Södra Ängby
10401,förskola,Förskolan Änglan AB,Våxtorpsgränd 18,12573,Älvsjö,18.0328437,59.2881125,Östberga
7346,förskola,Förskolan Äppelvikstorget,Nyängsvägen 1,16754,Bromma,17.9729254,59.3264122,Äppelviken
10564,förskola,Förskolan Örnbacken,Örnbacken 34,12651,Hägersten,17.9880423,59.3092546,Aspudden
9056,förskola,Föräldrakooperativet Minnemalen,Svartviksslingan 13,16738,Bromma,17.9895629,59.3400425,Traneberg
9585,förskola,Föräldrakooperativet Storken,Sunnanstigen 5,16731,Bromma,17.9548919,59.3375712,Ulvsunda
10284,förskola,Föräldrakooperativet Trumslagaren,Trumslagargatan 10,12534,Älvsjö,17.99807,59.2767902,Långsjö
8423,förskola,Föräldrakooperativet Vildkatten,Tegelbruksvägen 31,12634,Hägersten,18.0100183,59.3019572,Midsommarkransen
7197,förskola,Gläntan Lotterivägen 17,Lotterivägen 17,12932,Hägersten,17.9808163,59.2978629,Hägerstensåsen
9477,förskola,Gläntan Östbergabackarna 50,Östbergabackarna 50,12572,Älvsjö,18.0310008,59.2875969,Östberga
10050,förskola,Grodan,Störtloppsvägen 36,12945,Hägersten,17.9665397,59.2945031,Västertorp
6773,förskola,Grågåsen,Erik Segersälls väg 24–30,12650,Hägersten,17.9993105,59.3075649,Aspudden
9539,förskola,Gökboet – Ängbybarnens förskolor,Dybecksvägen 84,16855,Bromma,17.9008879,59.3464247,Norra Ängby
10614,förskola,Hasselbacken,Personnevägen 78,12935,Hägersten,17.9751492,59.2983006,Hägersten
8612,förskola,Hattis,Hattmakarbacken 11,12942,Hägersten,17.9523297,59.296746,Mälarhöjden
7257,förskola,Hattstugans Waldorfförskola,Stora Mossens backe 4,16756,Bromma,17.9642261,59.3345153,Stora mossen
9952,förskola,Hoppetossa Tolvan,Grönviksvägen 111,16776,Bromma,17.9372579,59.320387,Ålsten
8521,förskola,I Ur och Skur Havskatten,Missionsvägen 14,16733,Bromma,17.9764308,59.3408876,Ulvsunda
7610,förskola,I Ur och Skur Mullelyan,Beckombergavägen 13,16854,Bromma,17.921362,59.3431821,Åkeshov
9652,förskola,I Ur och Skur Trollsländan,Tappvägen 32,16870,Bromma,17.9524702,59.3645169,Mariehäll
7322,förskola,I Ur och Skur Täppan,Grundtvigsgatan 47–49,16848,Bromma,17.8853255,59.3469133,Blackeberg
7713,förskola,I Ur och Skur Vindleken,Långsjövägen 12,12530,Älvsjö,17.9977428,59.2747059,Långsjö
10728,förskola,I Ur och Skur Vinterelvan,Örnbacken 4,12651,Hägersten,17.9905404,59.3095658,Aspudden
7668,förskola,I Ur och Skur Västanvind,Anundsvägen 12,16853,Bromma,17.8911026,59.3520842,Beckomberga
8664,förskola,Instrumentet,Instrumentvägen 32,12653,Hägersten,17.9845951,59.3055671,Hägersten
8631,förskola,Jungfru Lona,Kinmanssonsvägen 47,12938,Hägersten,17.9690178,59.3019509,Hägersten
9738,förskola,Justineborgs förskola,Adolfsbergsvägen 26,16866,Bromma,17.9556266,59.358668,Mariehäll
8703,förskola,Kastanjen Majstångsvägen 6,Majstångsvägen 6,12633,Hägersten,18.0090156,59.3033057,Midsommarkransen
