namn,kategori,gata,lat,lon,stadsdel
Montessoriförskolan Liten och Stor,förskola,Stopvägen 37,59.3353261,17.9460517,Bromma
Montessoriförskolan Regnbågen,förskola,Krattvägen 20,59.2850042,17.9872618,Älvsjö
Muminstugan,förskola,Vantörsvägen 150,59.2732489,17.9899538,Älvsjö
Möjbro – Ängbybarnens förskolor,förskola,Möjbrovägen 8,59.3445878,17.9248178,Bromma
Norlandia förskolor Måsen,förskola,Blommensbergsvägen 163 och 180,6576741.0,149621.0,
Norlandia förskolor Sagohjälten,förskola,Annedalsvägen 39,59.3646939,17.9498785,Mariehäll
Norlandia förskolor Sagoträdet,förskola,Tappvägen 8 D,59.3631972,17.9505849,Mariehäll
Orkestern,förskola,Responsgatan 1,59.2974806,18.0027904,Västberga
Paletten Huvudfabriksgatan 18–20,förskola,Huvudfabriksgatan 18–20,59.2998468,17.9902536,Midsommarkransen
Prästängen,förskola,Prästgårdsgränd 16,59.2813446,18.0103612,Älvsjö
Pysslingen Färjan,förskola,Färjestadsvägen 5,59.3389752,17.9038639,Nockebyhov
Pysslingen Förskolor Isälven,förskola,Kamrerarvägen 19,59.2931554,17.9862666,Hägerstensåsen
Pysslingen Kastanjelunden,förskola,Lummelundagatan 3,59.3564118,17.9001156,Beckomberga
Pysslingen Mälarhöjdsparken,förskola,Emilia Fogelklous gata 10,59.2856162,17.9520797,Fruängen
Pysslingen Sagoträdet,förskola,Långbrovägen 55,59.2809324,17.9900076,Älvsjö
Pysslingen Smältrullen,förskola,Borrvägen 5,59.2939371,17.9972595,Västberga
Pysslingen Typografen,förskola,Gösta Ekmans Väg 7,59.3031586,17.9798047,Hägersten
Pysslingen Örtagården,förskola,Örtagårdsvägen 1–2,59.2797772,17.9947307,Långsjö
Raoul Wallenbergförskolan Mariehäll,förskola,Bällstavägen 8,59.3602189,17.9599411,Mariehäll
Raoul Wallenbergs Förskola,förskola,Beckombergavägen 314,59.3564858,17.9038125,Eneby
Regnbågen Slättgårdsvägen 72,förskola,Slättgårdsvägen 72,59.2918329,17.95082,Mälarhöjden
Rödkulla,förskola,Långängsvägen 56,59.2743741,17.9701129,Älvsjö
Rönneberga,förskola,Vattenledningsvägen 24 A och B,6576477.0,150612.0,
Sagoberget,förskola,Kilsbergsvägen 9,59.3387127,17.9784143,Traneberg
Sjöberget,förskola,Torsten Alms gata 86,59.3091416,17.9858859,Aspudden
Sjöstjärnan Rävsnäsvägen 77–79,förskola,Rävsnäsvägen 77–79,59.2797296,18.0280004,Örby slott
Skatboet,förskola,Valutavägen 90,59.2982158,17.9789564,Hägerstensåsen
Skattkistan Sandalettgatan 9,förskola,Sandalettgatan 9,59.2818584,18.0074888,Älvsjö
Smeden,förskola,Klensmedsvägen 10,59.295562,17.9966457,Västberga
Snabelskon,förskola,Sulvägen 62,59.2843302,18.0098802,Solberga
Snöbollen,förskola,Snöbollsgränd 3,59.291182,17.9615966,Västertorp
Snöripan,förskola,Snöripsvägen 34,59.2729324,17.9775492,Långsjö
Solgårdens Waldorfförskola,förskola,Marklandsbacken 11,59.3359775,17.9387975,Åkeslund
Solkatten,förskola,Midsommarvägen 20,59.3001162,18.008139,Midsommarkransen
