namn,kategori,gata,lat,lon,stadsdel,stadsdelsomrade
Instrumentet,förskola,Instrumentvägen 32,59.3055671,17.9845951,Hägersten,Hägersten-Älvsjö
Jungfru Lona,förskola,Kinmanssonsvägen 47,59.3019509,17.9690178,Hägersten,Hägersten-Älvsjö
Justineborgs förskola,förskola,Adolfsbergsvägen 26,59.358668,17.9556266,Mariehäll,Bromma
Kastanjen Majstångsvägen 6,förskola,Majstångsvägen 6,59.3033057,18.0090156,Midsommarkransen,Hägersten-Älvsjö
Kata Dalström,förskola,Kata Dalströms gata 23,59.2851332,17.9603854,Fruängen,Hägersten-Älvsjö
Kobran,förskola,Mobilgatan 3B,59.2978941,17.9890975,Midsommarkransen,Hägersten-Älvsjö
Korpen,förskola,Schlytersvägen 55,59.3064018,18.006897,Aspudden,Hägersten-Älvsjö
Kristallen,förskola,Isgränd 6,59.2908257,17.9681302,Västertorp,Hägersten-Älvsjö
Kroppås,förskola,Sankt Mickelsgatan 122,59.2983479,17.9593892,Hägersten,Hägersten-Älvsjö
Lillgårdens waldorfförskola,förskola,Broderivägen 13,59.3390824,17.9294811,Åkeshov,Bromma
Lillskogen,förskola,Karlslundsvägen 10,59.2687269,17.9816651,Långsjö,Hägersten-Älvsjö
LM-gården,förskola,Trettondagsvägen 7–9,59.2999201,17.9980105,Midsommarkransen,Hägersten-Älvsjö
Luren,förskola,Kransbindarvägen 120,59.3023329,17.9982216,Midsommarkransen,Hägersten-Älvsjö
Långbropark förskola,förskola,Stora mans väg 11B,59.2824177,17.9731195,Älvsjö,Hägersten-Älvsjö
Långsjö,förskola,Gårdstigen 19,59.2661284,17.9744804,Långsjö,Hägersten-Älvsjö
Majamyra,förskola,Torsslowsbacken 2,59.3066089,17.9760782,Hägersten,Hägersten-Älvsjö
Mariehälls Montessoriförskola,förskola,Hagelstavägen 20,59.3597655,17.9479265,Mariehäll,Bromma
Matrisen,förskola,Långsjövägen 14,59.2742858,17.9968241,Långsjö,Hägersten-Älvsjö
Metronomen,förskola,Radiusbacken 31,59.2981625,18.0041428,Västberga,Hägersten-Älvsjö
Mineralen,förskola,Skodonsvägen 9,59.2889789,18.0067707,Solberga,Hägersten-Älvsjö
Minne Mus Montessoriförskola,förskola,Svartviksslingan 88,59.3399391,17.987515,Traneberg,Bromma
Montessoriförskolan Bromma Planeten,förskola,Söderberga allé 28,59.359664,17.8964789,Beckomberga,Bromma
Montessoriförskolan Liten och Stor,förskola,Stopvägen 37,59.3353261,17.9460517,Bromma,Bromma
Montessoriförskolan Regnbågen,förskola,Krattvägen 20,59.2850042,17.9872618,Älvsjö,Hägersten-Älvsjö
Muminstugan,förskola,Vantörsvägen 150,59.2732489,17.9899538,Älvsjö,Hägersten-Älvsjö
Möjbro – Ängbybarnens förskolor,förskola,Möjbrovägen 8,59.3445878,17.9248178,Bromma,Bromma
Norlandia förskolor Måsen,förskola,Blommensbergsvägen 163 och 180,6576741.0,149621.0,,
Norlandia förskolor Sagohjälten,förskola,Annedalsvägen 39,59.3646939,17.9498785,Mariehäll,Bromma
Norlandia förskolor Sagoträdet,förskola,Tappvägen 8 D,59.3631972,17.9505849,Mariehäll,Bromma
Orkestern,förskola,Responsgatan 1,59.2974806,18.0027904,Västberga,Hägersten-Älvsjö
Paletten Huvudfabriksgatan 18–20,förskola,Huvudfabriksgatan 18–20,59.2998468,17.9902536,Midsommarkransen,Hägersten-Älvsjö
Prästängen,förskola,Prästgårdsgränd 16,59.2813446,18.0103612,Älvsjö,Hägersten-Älvsjö
Pysslingen Färjan,förskola,Färjestadsvägen 5,59.3389752,17.9038639,Nockebyhov,Bromma
Pysslingen Förskolor Isälven,förskola,Kamrerarvägen 19,59.2931554,17.9862666,Hägerstensåsen,Hägersten-Älvsjö
Pysslingen Kastanjelunden,förskola,Lummelundagatan 3,59.3564118,17.9001156,Beckomberga,Bromma
Pysslingen Mälarhöjdsparken,förskola,Emilia Fogelklous gata 10,59.2856162,17.9520797,Fruängen,Hägersten-Älvsjö
Pysslingen Sagoträdet,förskola,Långbrovägen 55,59.2809324,17.9900076,Älvsjö,Hägersten-Älvsjö
Pysslingen Smältrullen,förskola,Borrvägen 5,59.2939371,17.9972595,Västberga,Hägersten-Älvsjö
Pysslingen Typografen,förskola,Gösta Ekmans Väg 7,59.3031586,17.9798047,Hägersten,Hägersten-Älvsjö
Pysslingen Örtagården,förskola,Örtagårdsvägen 1–2,59.2797772,17.9947307,Långsjö,Hägersten-Älvsjö
Raoul Wallenbergförskolan Mariehäll,förskola,Bällstavägen 8,59.3602189,17.9599411,Mariehäll,Bromma
Raoul Wallenbergs Förskola,förskola,Beckombergavägen 314,59.3564858,17.9038125,Eneby,Bromma
Regnbågen Slättgårdsvägen 72,förskola,Slättgårdsvägen 72,59.2918329,17.95082,Mälarhöjden,Hägersten-Älvsjö
Rödkulla,förskola,Långängsvägen 56,59.2743741,17.9701129,Älvsjö,Hägersten-Älvsjö
Rönneberga,förskola,Vattenledningsvägen 24 A och B,6576477.0,150612.0,,
Sagoberget,förskola,Kilsbergsvägen 9,59.3387127,17.9784143,Traneberg,Bromma
Sjöberget,förskola,Torsten Alms gata 86,59.3091416,17.9858859,Aspudden,Hägersten-Älvsjö
Sjöstjärnan Rävsnäsvägen 77–79,förskola,Rävsnäsvägen 77–79,59.2797296,18.0280004,Örby slott,Hägersten-Älvsjö
Skatboet,förskola,Valutavägen 90,59.2982158,17.9789564,Hägerstensåsen,Hägersten-Älvsjö
Skattkistan Sandalettgatan 9,förskola,Sandalettgatan 9,59.2818584,18.0074888,Älvsjö,Hägersten-Älvsjö
Smeden,förskola,Klensmedsvägen 10,59.295562,17.9966457,Västberga,Hägersten-Älvsjö
Snabelskon,förskola,Sulvägen 62,59.2843302,18.0098802,Solberga,Hägersten-Älvsjö
Snöbollen,förskola,Snöbollsgränd 3,59.291182,17.9615966,Västertorp,Hägersten-Älvsjö
Snöripan,förskola,Snöripsvägen 34,59.2729324,17.9775492,Långsjö,Hägersten-Älvsjö
Solgårdens Waldorfförskola,förskola,Marklandsbacken 11,59.3359775,17.9387975,Åkeslund,Bromma
Solkatten,förskola,Midsommarvägen 20,59.3001162,18.008139,Midsommarkransen,Hägersten-Älvsjö
Solkatten Medaljonggatan 10–14,förskola,Medaljonggatan 10–14,59.2832262,17.9980649,Solberga,Hägersten-Älvsjö
Solstrålen Hägerstensvägen 179,förskola,Hägerstensvägen 179,59.3048255,17.9899728,Aspudden,Hägersten-Älvsjö
Solängen,förskola,Solberga Ängsväg 4–6,59.2814997,18.0130976,Älvsjö,Hägersten-Älvsjö
SPIRA Förskolor Bromma,förskola,Tunnlandsvägen 91 A,59.3366239,17.9393558,Bromma,Bromma
