% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0,692853246;5080;;;Antal;0180R033_RegSO2025;Hedvig Eleonora;;0180R033 Hedvig Eleonora;2024;bostadsrätt;Bostadsrätt;5080
0,306737589;;2249;;Antal;0180R033_RegSO2025;Hedvig Eleonora;;0180R033 Hedvig Eleonora;2024;hyresrätt;Hyresrätt;2249
;;;;Antal;0180R033_RegSO2025;Hedvig Eleonora;;0180R033 Hedvig Eleonora;2024;uppgift saknas;Uppgift saknas;0
0,947502117;;;1119;Antal;0180R034_RegSO2025;Herrängen;;0180R034 Herrängen;2024;äganderätt;Äganderätt;1119
0,033869602;40;;;Antal;0180R034_RegSO2025;Herrängen;;0180R034 Herrängen;2024;bostadsrätt;Bostadsrätt;40
0,018628281;;22;;Antal;0180R034_RegSO2025;Herrängen;;0180R034 Herrängen;2024;hyresrätt;Hyresrätt;22
;;;;Antal;0180R034_RegSO2025;Herrängen;;0180R034 Herrängen;2024;uppgift saknas;Uppgift saknas;0
0,000421319;;;2;Antal;0180R035_RegSO2025;Hjorthagen-Värtahamnen;;0180R035 Hjorthagen-Värtahamnen;2024;äganderätt;Äganderätt;2
0,566041711;2687;;;Antal;0180R035_RegSO2025;Hjorthagen-Värtahamnen;;0180R035 Hjorthagen-Värtahamnen;2024;bostadsrätt;Bostadsrätt;2687
0,433536971;;2058;;Antal;0180R035_RegSO2025;Hjorthagen-Värtahamnen;;0180R035 Hjorthagen-Värtahamnen;2024;hyresrätt;Hyresrätt;2058
;;;;Antal;0180R035_RegSO2025;Hjorthagen-Värtahamnen;;0180R035 Hjorthagen-Värtahamnen;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R036_RegSO2025;Husby;;0180R036 Husby;2024;äganderätt;Äganderätt;0
0,181981982;909;;;Antal;0180R036_RegSO2025;Husby;;0180R036 Husby;2024;bostadsrätt;Bostadsrätt;909
0,818018018;;4086;;Antal;0180R036_RegSO2025;Husby;;0180R036 Husby;2024;hyresrätt;Hyresrätt;4086
;;;;Antal;0180R036_RegSO2025;Husby;;0180R036 Husby;2024;uppgift saknas;Uppgift saknas;0
0,216677905;;;964;Antal;0180R037_RegSO2025;Hägersten;Hägersten-Älvsjö;0180R037 Hägersten;2024;äganderätt;Äganderätt;964
0,394470668;1755;;;Antal;0180R037_RegSO2025;Hägersten;Hägersten-Älvsjö;0180R037 Hägersten;2024;bostadsrätt;Bostadsrätt;1755
0,388851427;;1730;;Antal;0180R037_RegSO2025;Hägersten;Hägersten-Älvsjö;0180R037 Hägersten;2024;hyresrätt;Hyresrätt;1730
;;;;Antal;0180R037_RegSO2025;Hägersten;Hägersten-Älvsjö;0180R037 Hägersten;2024;uppgift saknas;Uppgift saknas;0
0,007461182;;;37;Antal;0180R038_RegSO2025;Hägerstensåsen;Hägersten-Älvsjö;0180R038 Hägerstensåsen;2024;äganderätt;Äganderätt;37
0,393022787;1949;;;Antal;0180R038_RegSO2025;Hägerstensåsen;Hägersten-Älvsjö;0180R038 Hägerstensåsen;2024;bostadsrätt;Bostadsrätt;1949
0,599516031;;2973;;Antal;0180R038_RegSO2025;Hägerstensåsen;Hägersten-Älvsjö;0180R038 Hägerstensåsen;2024;hyresrätt;Hyresrätt;2973
;;;;Antal;0180R038_RegSO2025;Hägerstensåsen;Hägersten-Älvsjö;0180R038 Hägerstensåsen;2024;uppgift saknas;Uppgift saknas;0
0,055632823;;;320;Antal;0180R039_RegSO2025;Hässelby Gård;;0180R039 Hässelby Gård;2024;äganderätt;Äganderätt;320
0,175938804;1012;;;Antal;0180R039_RegSO2025;Hässelby Gård;;0180R039 Hässelby Gård;2024;bostadsrätt;Bostadsrätt;1012
0,768428373;;4420;;Antal;0180R039_RegSO2025;Hässelby Gård;;0180R039 Hässelby Gård;2024;hyresrätt;Hyresrätt;4420
;;;;Antal;0180R039_RegSO2025;Hässelby Gård;;0180R039 Hässelby Gård;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R040_RegSO2025;Hässelby Strand;;0180R040 Hässelby Strand;2024;äganderätt;Äganderätt;0
0,354783355;1654;;;Antal;0180R040_RegSO2025;Hässelby Strand;;0180R040 Hässelby Strand;2024;bostadsrätt;Bostadsrätt;1654
0,645216645;;3008;;Antal;0180R040_RegSO2025;Hässelby Strand;;0180R040 Hässelby Strand;2024;hyresrätt;Hyresrätt;3008
;;;;Antal;0180R040_RegSO2025;Hässelby Strand;;0180R040 Hässelby Strand;2024;uppgift saknas;Uppgift saknas;0
0,679685265;;;4751;Antal;0180R041_RegSO2025;Hässelby Villastad;;0180R041 Hässelby Villastad;2024;äganderätt;Äganderätt;4751
0,108440629;758;;;Antal;0180R041_RegSO2025;Hässelby Villastad;;0180R041 Hässelby Villastad;2024;bostadsrätt;Bostadsrätt;758
0,211874106;;1481;;Antal;0180R041_RegSO2025;Hässelby Villastad;;0180R041 Hässelby Villastad;2024;hyresrätt;Hyresrätt;1481
;;;;Antal;0180R041_RegSO2025;Hässelby Villastad;;0180R041 Hässelby Villastad;2024;uppgift saknas;Uppgift saknas;0
0,052088706;;;303;Antal;0180R042_RegSO2025;Högdalen;;0180R042 Högdalen;2024;äganderätt;Äganderätt;303
0,418772563;2436;;;Antal;0180R042_RegSO2025;Högdalen;;0180R042 Högdalen;2024;bostadsrätt;Bostadsrätt;2436
